price,priceRounded,priceRange,eur/mp,areaRaw,areaRounded,totalArea,areaRange,rooms,no_of_levels,location
149.90,150,140-155k,961,156.00,156,105,150-164mp,5,P+1E+M, Sud
147.00,147,140-155k,1235,119.00,119,200,112-127mp,4,P+1E, Sud
135.00,135,128-139k,1089,124.00,124,150,112-127mp,5,P+2E, Sud
135.00,135,128-139k,1378,98.00,98,171,90-110mp,4,P+1E, Sud
76.18,76,69-95k,762,100.00,100,200,90-110mp,3,P+1E,Central
135.00,135,128-139k,1378,98.00,98,116,90-110mp,4,P+1E, Sud
129.90,130,128-139k,1120,116.00,116,100,112-127mp,4,P+1E+M, Sud
145.00,145,140-155k,1450,100.00,100,49,90-110mp,4,P+1E, Sud
135.00,135,128-139k,1378,98.00,98,106,90-110mp,4,P+1E+M,Central
175.00,175,160-175k,1378,127.00,127,204,112-127mp,4,P+1E,Central
320.00,320,Over 300,1524,210.00,210,350,191-210mp,5,P+1E+M, Sud
115.00,115,100-115k,1278,90.00,90,114,90-110mp,4,P+1E, Sud
144.90,145,140-155k,1159,125.00,125,110,112-127mp,5,P+1E+M,Central
149.90,150,140-155k,961,156.00,156,105,150-164mp,5,P+1E+M, Sud
195.00,195,179-199k,1219,160.00,160,204,150-164mp,5,P+1E+M, Sud
119.51,120,118-126k,956,125.00,125,120,112-127mp,4,P+1E+M, Sud
124.50,125,118-126k,1477,84.29,84,70,67-85mp,4,P+1E,Central
130.00,130,128-139k,1121,116.00,116,25,112-127mp,4,P+2E, Sud
76.00,76,69-95k,760,100.00,100,170,90-110mp,3,P+1E, Sud
147.00,147,140-155k,1235,119.00,119,142,112-127mp,4,P+1E,Central
95.00,95,69-95k,872,109.00,109,205,90-110mp,5,P+M, Sud
155.00,155,140-155k,994,156.00,156,110,150-164mp,5,P+1E+M, Sud
149.90,150,140-155k,961,156.00,156,110,150-164mp,5,P+1E+M, Sud
165.00,165,160-175k,1058,156.00,156,173,150-164mp,5,P+1E+M, Sud
148.00,148,140-155k,1233,120.00,120,35,112-127mp,5,P+2E, Sud
185.00,185,179-199k,1285,144.00,144,500,130-145mp,6,P+1E,Est
264.90,265,255-295k,2022,131.00,131,173,130-145mp,6,No data, Sud
167.50,168,160-175k,1319,127.00,127,134,112-127mp,3,P+1E+M,Nord
499.00,499,Over 300,1331,375.00,375,1070,Over 300mp,7,P+1E,Central
590.00,590,Over 300,2646,223.00,223,500,221-250mp,5,P+1E, Sud
750.00,750,Over 300,490,1531.00,1531,2852,Over 300mp,33,P+3E+M, Sud
125.00,125,118-126k,880,142.00,142,195,130-145mp,4,P+1E+M,Nord
255.00,255,255-295k,1555,164.00,164,500,150-164mp,4,No data, Sud
125.00,125,118-126k,833,150.00,150,No data,150-164mp,5,P+1E+M, Sud
105.00,105,100-115k,750,140.00,140,800,130-145mp,4,No data,Est
245.00,245,200-250k,1815,135.00,135,No data,130-145mp,4,P+1E, Sud
79.90,80,69-95k,799,100.00,100,No data,90-110mp,3,P+M,No data
159.90,160,160-175k,1259,127.00,127,No data,112-127mp,5,P+1E+M, Sud
245.00,245,200-250k,1317,186.00,186,No data,170-190mp,5,P+1E+M, Sud
235.00,235,200-250k,1741,135.00,135,No data,130-145mp,4,P+2E, Sud
245.00,245,200-250k,1815,135.00,135,No data,130-145mp,4,P+1E, Sud
85.00,85,69-95k,1417,60.00,60,200,45-65mp,3,No data,Central
147.00,147,140-155k,1470,100.00,100,No data,90-110mp,4,P+1E,Central
95.00,95,69-95k,872,109.00,109,No data,90-110mp,5,P+M,No data
152.00,152,140-155k,1310,116.00,116,No data,112-127mp,4,P+1E,Central
100.00,100,100-115k,971,103.00,103,No data,90-110mp,5,P+M, Sud
69.00,69,69-95k,1533,45.00,45,No data,45-65mp,2,P+1E+M,Nord
110.00,110,100-115k,1078,102.00,102,No data,90-110mp,4,P+1E, Sud
85.00,85,69-95k,895,95.00,95,No data,90-110mp,4,P+1E+M,No data
79.99,80,69-95k,800,100.00,100,No data,90-110mp,3,P+1E+M,No data
129.80,130,128-139k,961,135.00,135,470,130-145mp,4,No data,No data
130.00,130,128-139k,1024,127.00,127,128,112-127mp,5,No data,Central
199.00,199,179-199k,1453,137.00,137,75,130-145mp,5,No data,Central
145.00,145,140-155k,1007,144.00,144,167,130-145mp,4,No data,No data
110.00,110,100-115k,815,135.00,135,200,130-145mp,4,No data, Sud
155.00,155,140-155k,1372,113.00,113,272,112-127mp,3,No data, Sud
187.00,187,179-199k,1247,150.00,150,230,150-164mp,5,No data,Nord
140.00,140,140-155k,1413,99.05,99,256,90-110mp,3,No data,Est
264.90,265,255-295k,2022,131.00,131,173,130-145mp,6,No data, Sud
751.00,751,Over 300,539,1393.00,1393,2852,Over 300mp,28,No data,Est
99.75,100,100-115k,767,130.00,130,140,130-145mp,5,No data,Central
199.00,199,179-199k,1421,140.00,140,373,130-145mp,5,No data,Central
110.00,110,100-115k,982,112.00,112,250,112-127mp,4,No data, Sud
130.00,130,128-139k,1116,116.50,117,100,112-127mp,4,No data, Sud
135.00,135,128-139k,1378,98.00,98,160,90-110mp,4,No data, Sud
135.00,135,128-139k,1063,127.00,127,56,112-127mp,4,No data, Sud
135.00,135,128-139k,1350,100.00,100,110,90-110mp,4,No data,Central
135.00,135,128-139k,1350,100.00,100,106,90-110mp,4,No data, Sud
130.60,131,128-139k,1045,125.00,125,140,112-127mp,4,No data, Sud
205.00,205,200-250k,1139,180.00,180,196,170-190mp,5,No data, Sud
187.00,187,179-199k,1385,135.00,135,175,130-145mp,4,No data,Central
125.80,126,118-126k,1048,120.00,120,120,112-127mp,4,No data,Central
115.00,115,100-115k,1278,90.00,90,72,90-110mp,4,No data, Sud
130.00,130,128-139k,1111,117.00,117,105,112-127mp,4,No data, Sud
205.00,205,200-250k,1424,144.00,144,200,130-145mp,5,No data, Sud
263.90,264,255-295k,1389,190.00,190,290,170-190mp,7,No data, Sud
415.00,415,Over 300,1729,240.00,240,750,221-250mp,6,No data,No data
147.00,147,140-155k,1235,119.00,119,250,112-127mp,4,No data, Sud
147.00,147,140-155k,1235,119.00,119,124,112-127mp,4,No data, Sud
320.00,320,Over 300,1524,210.00,210,350,191-210mp,5,No data,Central
147.00,147,140-155k,1225,120.00,120,250,112-127mp,4,No data, Sud
239.00,239,200-250k,1494,160.00,160,175,150-164mp,4,No data,Est
147.00,147,140-155k,1278,115.00,115,142,112-127mp,4,No data, Sud
147.00,147,140-155k,1235,119.00,119,120,112-127mp,4,No data, Sud
76.00,76,69-95k,760,100.00,100,170,90-110mp,3,No data, Sud
95.00,95,69-95k,1583,60.00,60,203,45-65mp,3,No data, Sud
160.00,160,160-175k,1067,150.00,150,260,150-164mp,5,No data, Sud
80.75,81,69-95k,808,100.00,100,120,90-110mp,5,No data,Est
78.99,79,69-95k,878,90.00,90,40,90-110mp,3,No data, Sud
143.00,143,140-155k,1144,125.00,125,167,112-127mp,4,No data,No data
375.00,375,Over 300,1103,340.00,340,564,Over 300mp,9,No data, Sud
150.00,150,140-155k,962,156.00,156,100,150-164mp,5,No data,Central
100.00,100,100-115k,1000,100.00,100,120,90-110mp,5,No data,Est
124.50,125,118-126k,778,160.00,160,200,150-164mp,4,No data, Sud
144.50,145,140-155k,803,180.00,180,180,170-190mp,4,No data, Sud
128.00,128,128-139k,1164,110.00,110,110,90-110mp,5,No data,Central
133.00,133,128-139k,1357,98.00,98,38,90-110mp,3,No data, Sud
79.90,80,69-95k,1141,70.00,70,250,67-85mp,4,No data, Sud
105.00,105,100-115k,840,125.00,125,230,112-127mp,4,No data, Sud
125.00,125,118-126k,1042,120.00,120,No data,112-127mp,4,No data,Central
84.90,85,69-95k,849,100.00,100,170,90-110mp,5,No data,Central
162.00,162,160-175k,1573,103.00,103,130,90-110mp,4,No data,Central
590.00,590,Over 300,2458,240.00,240,500,221-250mp,5,No data, Sud
129.50,130,128-139k,1363,95.00,95,125,90-110mp,3,No data,Central
127.90,128,128-139k,1346,95.00,95,115,90-110mp,3,No data, Sud
127.90,128,128-139k,1279,100.00,100,115,90-110mp,3,No data, Sud
80.00,80,69-95k,1333,60.00,60,190,45-65mp,3,No data,Periferie
78.99,79,69-95k,1580,50.00,50,90,45-65mp,3,No data,Periferie
80.00,80,69-95k,1143,70.00,70,200,67-85mp,4,No data, Sud
80.00,80,69-95k,1143,70.00,70,No data,67-85mp,3,No data, Sud
80.00,80,69-95k,1143,70.00,70,No data,67-85mp,4,No data,No data
80.00,80,69-95k,1333,60.00,60,No data,45-65mp,3,No data, Sud
80.00,80,69-95k,1143,70.00,70,No data,67-85mp,3,No data, Sud
80.00,80,69-95k,1143,70.00,70,200,67-85mp,3,No data,Nord
80.00,80,69-95k,1039,77.00,77,195,67-85mp,3,No data, Sud
83.00,83,69-95k,922,90.00,90,No data,90-110mp,3,P+1E, Sud
79.90,80,69-95k,1332,60.00,60,105,45-65mp,3,No data, Sud
80.00,80,69-95k,800,100.00,100,No data,90-110mp,3,P+1E+M,Central
130.00,130,128-139k,1116,116.50,117,No data,112-127mp,4,D+P+1E+M,Central
84.99,85,69-95k,1214,70.00,70,175,67-85mp,3,No data, Sud
90.00,90,69-95k,1552,58.00,58,130,45-65mp,3,No data, Sud
90.00,90,69-95k,1286,70.00,70,230,67-85mp,3,No data, Sud
85.00,85,69-95k,1308,65.00,65,176,45-65mp,3,No data,No data
85.00,85,69-95k,850,100.00,100,220,90-110mp,3,No data,Central
85.00,85,69-95k,1115,76.20,76,No data,67-85mp,3,No data, Sud
84.90,85,69-95k,849,100.00,100,200,90-110mp,4,No data, Sud
80.00,80,69-95k,667,120.00,120,200,112-127mp,4,No data,Est
126.00,126,118-126k,900,140.00,140,130,130-145mp,5,No data,Est
95.00,95,69-95k,1357,70.00,70,200,67-85mp,3,No data,Est
85.00,85,69-95k,850,100.00,100,No data,90-110mp,4,No data,Central
80.00,80,69-95k,1143,70.00,70,No data,67-85mp,3,No data, Sud
135.00,135,128-139k,1350,100.00,100,No data,90-110mp,4,No data, Sud
139.00,139,128-139k,1158,120.00,120,No data,112-127mp,4,No data,Central
95.00,95,69-95k,1118,85.00,85,No data,67-85mp,5,No data,No data
130.00,130,128-139k,1121,116.00,116,No data,112-127mp,4,No data, Sud
274.70,275,255-295k,1327,207.00,207,No data,191-210mp,7,No data,Periferie
95.00,95,69-95k,1357,70.00,70,200,67-85mp,3,No data,Vest
80.00,80,69-95k,1333,60.00,60,No data,45-65mp,3,P+1E,Central
99.90,100,100-115k,740,135.00,135,No data,130-145mp,4,P+1E,Central
79.99,80,69-95k,1194,67.00,67,No data,67-85mp,3,P+M,Central
132.50,133,128-139k,1019,130.00,130,No data,130-145mp,4,P+1E+M, Sud
79.90,80,69-95k,940,85.00,85,No data,67-85mp,3,P+1E,Central
85.00,85,69-95k,1012,84.00,84,74,67-85mp,3,No data, Sud
100.00,100,100-115k,971,103.00,103,No data,90-110mp,5,P+M, Sud
135.00,135,128-139k,1089,124.00,124,No data,112-127mp,5,P+2E, Sud
84.90,85,69-95k,849,100.00,100,No data,90-110mp,5,P+M,Central
130.00,130,128-139k,1116,116.50,117,No data,112-127mp,4,P+1E+M, Sud
89.90,90,69-95k,899,100.00,100,No data,90-110mp,4,P+2E+M,No data
132.50,133,128-139k,1060,125.00,125,No data,112-127mp,4,P+2E,No data
119.52,120,118-126k,892,134.00,134,No data,130-145mp,4,P+1E+M, Sud
85.00,85,69-95k,1115,76.20,76,No data,67-85mp,3,P+1E, Sud
132.50,133,128-139k,1060,125.00,125,No data,112-127mp,4,P+1E+M,Central
85.00,85,69-95k,1466,58.00,58,No data,45-65mp,3,P+1E,Central
76.00,76,69-95k,1267,60.00,60,100,45-65mp,3,No data, Sud
119.52,120,118-126k,892,134.00,134,No data,130-145mp,4,No data, Sud
85.00,85,69-95k,1000,85.00,85,No data,67-85mp,5,No data, Sud
110.00,110,100-115k,1058,104.00,104,No data,90-110mp,4,No data, Sud
125.80,126,118-126k,1006,125.00,125,No data,112-127mp,4,No data, Sud
100.00,100,100-115k,800,125.00,125,No data,112-127mp,0,No data,No data
130.00,130,128-139k,1130,115.00,115,No data,112-127mp,4,No data,Central
85.00,85,69-95k,1000,85.00,85,No data,67-85mp,5,No data,No data
160.00,160,160-175k,1333,120.00,120,No data,112-127mp,5,No data, Sud
110.00,110,100-115k,1058,104.00,104,No data,90-110mp,4,No data, Sud
165.00,165,160-175k,1435,115.00,115,No data,112-127mp,4,No data, Sud
195.00,195,179-199k,1300,150.00,150,No data,150-164mp,5,No data, Sud
95.00,95,69-95k,950,100.00,100,No data,90-110mp,5,No data,Central
85.00,85,69-95k,708,120.00,120,No data,112-127mp,3,No data,Central
164.50,165,160-175k,1192,138.00,138,No data,130-145mp,5,No data,No data
155.00,155,140-155k,1615,96.00,96,No data,90-110mp,4,No data,Central
90.00,90,69-95k,1500,60.00,60,No data,45-65mp,3,No data,Central
85.00,85,69-95k,1037,82.00,82,No data,67-85mp,3,No data,Central
185.00,185,179-199k,411,450.00,450,No data,Over 300mp,9,No data, Sud
110.00,110,100-115k,1058,104.00,104,100,90-110mp,4,No data, Sud
90.00,90,69-95k,1500,60.00,60,250,45-65mp,3,No data,Est
85.00,85,69-95k,944,90.00,90,No data,90-110mp,3,No data,No data
200.00,200,200-250k,1250,160.00,160,No data,150-164mp,6,No data, Sud
195.00,195,179-199k,1219,160.00,160,No data,150-164mp,5,No data, Sud
179.00,179,179-199k,1140,157.00,157,No data,150-164mp,4,No data, Sud
210.00,210,200-250k,1400,150.00,150,No data,150-164mp,5,No data, Sud
289.00,289,255-295k,1376,210.00,210,No data,191-210mp,7,No data, Sud
94.99,95,69-95k,950,100.00,100,No data,90-110mp,5,No data,Central
179.00,179,179-199k,1140,157.00,157,No data,150-164mp,4,No data, Sud
105.00,105,100-115k,840,125.00,125,No data,112-127mp,4,No data,Est
129.00,129,128-139k,1032,125.00,125,No data,112-127mp,4,No data, Sud
229.00,229,200-250k,1151,199.00,199,No data,191-210mp,5,No data, Sud
135.00,135,128-139k,1089,124.00,124,No data,112-127mp,5,No data,No data
160.00,160,160-175k,1067,150.00,150,200,150-164mp,5,No data, Sud
550.00,550,Over 300,1833,300.00,300,No data,273-300mp,6,S+P+1E+M, Sud
200.00,200,200-250k,1504,133.00,133,No data,130-145mp,6,P+2E, Sud
219.00,219,200-250k,1460,150.00,150,No data,150-164mp,4,P+1E+M,Central
550.00,550,Over 300,1833,300.00,300,500,273-300mp,6,No data, Sud
165.00,165,160-175k,917,180.00,180,1000,170-190mp,5,No data, Sud
85.00,85,69-95k,1037,82.00,82,No data,67-85mp,3,P+1E,Central
85.00,85,69-95k,1012,84.00,84,No data,67-85mp,3,P+1E, Sud
295.00,295,255-295k,983,300.00,300,No data,273-300mp,7,D+P+1E, Sud
174.90,175,160-175k,1158,151.00,151,No data,150-164mp,4,P+1E, Sud
220.00,220,200-250k,803,274.00,274,250,273-300mp,7,No data, Sud
138.90,139,128-139k,1263,110.00,110,No data,90-110mp,4,P+1E+M,No data
110.00,110,100-115k,1048,105.00,105,No data,90-110mp,4,P+1E, Sud
250.00,250,200-250k,1969,127.00,127,No data,112-127mp,4,P+2E+M,Nord
200.00,200,200-250k,1538,130.00,130,No data,130-145mp,5,P+2E,Central
475.00,475,Over 300,1011,470.00,470,800,Over 300mp,7,No data, Sud
147.00,147,140-155k,1089,135.00,135,No data,130-145mp,4,No data, Sud
320.00,320,Over 300,1675,191.00,191,No data,191-210mp,5,No data, Sud
145.00,145,140-155k,1208,120.00,120,No data,112-127mp,4,No data, Sud
95.00,95,69-95k,1462,65.00,65,No data,45-65mp,3,No data,No data
140.00,140,140-155k,1273,110.00,110,No data,90-110mp,3,No data,Central
350.00,350,Over 300,1094,320.00,320,No data,Over 300mp,6,No data,Vest
147.00,147,140-155k,1235,119.00,119,No data,112-127mp,4,No data, Sud
295.00,295,255-295k,1967,150.00,150,No data,150-164mp,5,No data,No data
110.00,110,100-115k,1058,104.00,104,No data,90-110mp,4,No data,Central
129.00,129,128-139k,1122,115.00,115,No data,112-127mp,4,No data, Sud
299.90,300,Over 300,2068,145.00,145,No data,130-145mp,4,No data, Sud
499.00,499,Over 300,1757,284.00,284,No data,273-300mp,6,No data, Sud
295.00,295,255-295k,1967,150.00,150,180,150-164mp,5,No data,No data
249.00,249,200-250k,996,250.00,250,No data,221-250mp,6,P+1E+M,Central
145.00,145,140-155k,1261,115.00,115,360,112-127mp,3,No data,Central
229.00,229,200-250k,1151,199.00,199,No data,191-210mp,5,P+1E, Sud
118.00,118,118-126k,1439,82.00,82,No data,67-85mp,3,P+M,No data
249.00,249,200-250k,1012,246.00,246,No data,221-250mp,6,P+1E+M, Sud
174.90,175,160-175k,1158,151.00,151,No data,150-164mp,4,P+1E, Sud
299.90,300,Over 300,1935,155.00,155,No data,150-164mp,4,P+1E, Sud
229.00,229,200-250k,1431,160.00,160,No data,150-164mp,5,P+1E+M, Sud
160.00,160,160-175k,1280,125.00,125,No data,112-127mp,5,P+1E+M, Sud
145.00,145,140-155k,829,175.00,175,No data,170-190mp,5,P+1E+M, Sud
499.00,499,Over 300,1757,284.00,284,No data,273-300mp,5,P+1E+M, Sud
199.00,199,179-199k,1064,187.00,187,250,170-190mp,5,No data,No data
185.00,185,179-199k,1194,155.00,155,No data,150-164mp,4,P+1E,Nord
105.00,105,100-115k,827,127.00,127,210,112-127mp,4,No data, Sud
145.00,145,140-155k,906,160.00,160,No data,150-164mp,5,P+1E+M, Sud
220.00,220,200-250k,803,274.00,274,No data,273-300mp,6,P+1E+M, Sud
120.00,120,118-126k,857,140.00,140,60,130-145mp,5,No data,Nord
148.00,148,140-155k,1233,120.00,120,35,112-127mp,5,No data, Sud
110.00,110,100-115k,982,112.00,112,No data,112-127mp,4,P+1E, Sud
147.00,147,140-155k,1235,119.00,119,No data,112-127mp,4,P+1E, Sud
130.00,130,128-139k,1182,110.00,110,150,90-110mp,4,No data,Central
246.00,246,200-250k,998,246.54,247,No data,221-250mp,6,No data,No data
235.00,235,200-250k,1741,135.00,135,No data,130-145mp,4,No data, Sud
323.00,323,Over 300,1183,273.00,273,No data,273-300mp,5,No data,Central
105.00,105,100-115k,840,125.00,125,No data,112-127mp,4,No data,Central
295.00,295,255-295k,1561,189.00,189,No data,170-190mp,5,No data, Sud
140.00,140,140-155k,1217,115.00,115,No data,112-127mp,5,No data,No data
160.00,160,160-175k,1067,150.00,150,200,150-164mp,5,No data, Sud
133.00,133,128-139k,971,137.00,137,No data,130-145mp,4,P+1E, Sud
145.00,145,140-155k,1058,137.00,137,No data,130-145mp,5,P+1E+M,Central
110.00,110,100-115k,880,125.00,125,No data,112-127mp,4,P+1E,Central
130.00,130,128-139k,839,155.00,155,No data,150-164mp,5,P+2E, Sud
260.00,260,255-295k,1102,236.00,236,No data,221-250mp,4,P+1E, Sud
105.00,105,100-115k,827,127.00,127,No data,112-127mp,4,P+1E, Sud
130.00,130,128-139k,867,150.00,150,No data,150-164mp,5,P+1E+M,Central
185.00,185,179-199k,740,250.00,250,1896,221-250mp,5,No data,Nord
139.99,140,140-155k,1000,140.00,140,No data,130-145mp,3,P+1E+M, Sud
147.00,147,140-155k,1235,119.00,119,No data,112-127mp,4,P+1E, Sud
229.90,230,200-250k,1437,160.00,160,No data,150-164mp,5,P+1E+M, Sud
140.00,140,140-155k,1022,137.00,137,No data,130-145mp,5,P+1E+M,Central
129.99,130,128-139k,765,170.00,170,No data,170-190mp,5,P+1E+M, Sud
275.00,275,255-295k,1335,206.00,206,No data,191-210mp,8,P+1E+M,Central
260.00,260,255-295k,1166,223.00,223,No data,221-250mp,4,S+P+1E, Sud
179.90,180,179-199k,1285,140.00,140,No data,130-145mp,5,P+1E, Sud
94.99,95,69-95k,950,100.00,100,No data,90-110mp,5,P+1E, Sud
129.80,130,128-139k,1082,120.00,120,705,112-127mp,3,No data,No data
199.00,199,179-199k,1519,131.00,131,No data,130-145mp,4,S+P+1E+M,Nord
140.00,140,140-155k,805,174.00,174,No data,170-190mp,5,P+1E+M, Sud
175.00,175,160-175k,1522,115.00,115,No data,112-127mp,5,P+1E+M, Sud
125.00,125,118-126k,862,145.00,145,No data,130-145mp,5,P+1E+M, Sud
229.99,230,200-250k,1437,160.00,160,No data,150-164mp,5,P+1E+M, Sud
246.00,246,200-250k,1113,221.00,221,No data,221-250mp,5,P+1E+M,Nord
145.00,145,140-155k,1021,142.00,142,No data,130-145mp,4,P+2E+M,Central
147.00,147,140-155k,1089,135.00,135,No data,130-145mp,4,P+1E+M, Sud
115.00,115,100-115k,1150,100.00,100,No data,90-110mp,4,P+1E, Sud
246.00,246,200-250k,996,247.00,247,No data,221-250mp,5,P+1E+M,No data
199.50,200,200-250k,1008,198.00,198,No data,191-210mp,5,P+1E+M, Sud
246.00,246,200-250k,996,247.00,247,No data,221-250mp,6,P+1E+M, Sud
140.00,140,140-155k,1014,138.00,138,No data,130-145mp,4,P+2E,No data
129.00,129,128-139k,1387,93.00,93,No data,90-110mp,3,P+1E, Sud
174.90,175,160-175k,1143,153.00,153,No data,150-164mp,4,P+1E,Central
140.00,140,140-155k,1022,137.00,137,No data,130-145mp,5,P+1E+M,Central
123.00,123,118-126k,820,150.00,150,No data,150-164mp,5,P+1E+M,Central
104.99,105,100-115k,840,125.00,125,No data,112-127mp,4,P+1E,No data
200.00,200,200-250k,2000,100.00,100,No data,90-110mp,4,P+1E, Sud
147.00,147,140-155k,1455,101.00,101,No data,90-110mp,4,P+1E+M, Sud
129.00,129,128-139k,1387,93.00,93,No data,90-110mp,3,P+1E, Sud
84.90,85,69-95k,1035,82.00,82,30,67-85mp,3,No data,No data
240.00,240,200-250k,800,300.00,300,No data,273-300mp,6,No data,No data
119.80,120,118-126k,1198,100.00,100,470,90-110mp,4,No data,No data
147.00,147,140-155k,1470,100.00,100,230,90-110mp,4,No data, Sud
130.00,130,128-139k,813,160.00,160,140,150-164mp,6,No data, Sud
144.90,145,140-155k,1058,137.00,137,180,130-145mp,5,No data, Sud
210.00,210,200-250k,1400,150.00,150,260,150-164mp,5,No data, Sud
130.00,130,128-139k,1066,122.00,122,180,112-127mp,4,No data,Central
90.00,90,69-95k,900,100.00,100,170,90-110mp,3,No data, Sud
145.00,145,140-155k,1051,138.00,138,188,130-145mp,5,No data,Central
79.99,80,69-95k,1333,60.00,60,170,45-65mp,3,No data,No data
750.00,750,Over 300,490,1531.00,1531,2852,Over 300mp,33,No data, Sud
144.99,145,140-155k,1054,137.58,138,196,130-145mp,4,No data,Central
750.00,750,Over 300,490,1531.00,1531,2852,Over 300mp,33,P+2E+M, Sud
